"name","date","dem"
"AFG",1816-07-26,-6
"AFG",1935-06-28,-6
"CHN",1816-07-26,-6
"CHN",1860-10-11,-6
"DEN",1816-07-26,-10
"DEN",1834-06-29,-10
"IRN",1816-07-26,-10
"IRN",1906-10-06,-10
"JPN",1816-07-26,-10
"JPN",1858-07-28,-10
"MOR",1816-07-26,-6
"MOR",1912-03-29,-6
"THI",1816-07-26,-10
"THI",1932-06-22,-10
"TUR",1816-07-26,-10
"TUR",1876-12-22,-10
"UKG",1816-07-26,-2
"UKG",1837-06-19,-2
"USA",1816-07-26,6
"USA",1825-03-02,6
"POR",1816-07-26,0
"POR",1820-08-28,0
"AUS",1816-07-26,-10
"AUS",1848-03-02,-10
"AUH",1816-07-26,-10
"AUH",1848-03-02,-10
"PAR",1816-07-26,-9
"PAR",1868-12-31,-9
"RUS",1816-07-26,-10
"RUS",1905-10-29,-10
"GMY",1816-07-26,-10
"GMY",1840-06-06,-10
"FRN",1816-07-26,-4
"FRN",1830-05-15,-4
"NOR",1816-07-26,-7
"NOR",1873-07-17,-7
"SPN",1816-07-26,-9
"SPN",1819-12-31,-9
"NTH",1816-07-26,-6
"NTH",1840-10-06,-6
"CHL",1816-07-26,-5
"CHL",1851-12-07,-5
"HAI",1820-06-30,-7
"HAI",1915-07-25,-7
"POR",1820-08-29,0
"POR",1823-06-04,0
"SPN",1820-01-01,-4
"SPN",1823-08-30,-4
"PER",1821-07-27,-3
"PER",1822-09-19,-3
"MEX",1822-05-18,-1
"MEX",1834-04-23,-1
"PER",1822-09-20,-5
"PER",1824-02-23,-5
"POR",1823-06-05,-3
"POR",1833-09-22,-3
"SPN",1823-08-31,-6
"SPN",1836-08-09,-6
"BRA",1824-03-24,-6
"BRA",1889-11-14,-6
"PER",1824-02-24,0
"PER",1828-06-29,0
"ARG",1825-01-22,-5
"ARG",1829-12-07,-5
"BOL",1825-08-05,-3
"BOL",1836-12-14,-3
"USA",1825-03-03,7
"USA",1829-03-02,7
"GRC",1827-05-16,-5
"GRC",1830-02-02,-5
"PER",1828-06-30,5
"PER",1835-02-24,5
"ARG",1829-12-08,0
"ARG",1835-03-27,0
"USA",1829-03-03,10
"USA",1850-01-27,10
"BEL",1830-10-03,0
"BEL",1831-07-19,0
"ECU",1830-05-12,-1
"ECU",1901-06-29,-1
"FRN",1830-05-16,-1
"FRN",1848-02-22,-1
"GRC",1830-02-03,-4
"GRC",1833-01-27,-4
"VEN",1830-09-21,-5
"VEN",1881-04-26,-5
"LUX",1830-10-03,0
"LUX",1831-07-19,0
"BEL",1831-07-20,-4
"BEL",1847-08-10,-4
"LUX",1831-07-20,-4
"LUX",1847-08-10,-4
"COL",1832-02-28,2
"COL",1860-06-29,2
"GRC",1833-01-28,-3
"GRC",1844-03-29,-3
"POR",1833-09-23,0
"POR",1834-08-14,0
"DEN",1834-06-30,-9
"DEN",1849-06-04,-9
"MEX",1834-04-24,0
"MEX",1835-12-14,0
"POR",1834-08-15,-4
"POR",1836-09-14,-4
"ARG",1835-03-28,-5
"ARG",1852-12-01,-5
"MEX",1835-12-15,-3
"MEX",1846-08-17,-3
"PER",1835-02-25,-3
"PER",1836-02-08,-3
"BOL",1836-12-15,-3
"BOL",1839-01-19,-3
"PER",1836-02-09,-1
"PER",1836-10-27,-1
"PER",1836-10-28,-3
"PER",1839-08-14,-3
"POR",1836-09-15,1
"POR",1842-02-04,1
"SPN",1836-08-10,0
"SPN",1837-06-27,0
"SPN",1837-06-28,-1
"SPN",1845-05-23,-1
"UKG",1837-06-20,3
"UKG",1880-04-27,3
"COS",1838-05-27,-4
"COS",1885-03-11,-4
"NIC",1838-04-29,-5
"NIC",1909-12-15,-5
"BOL",1839-01-20,-3
"BOL",1841-06-29,-3
"GUA",1839-04-29,-3
"GUA",1850-10-21,-3
"HON",1839-01-09,-3
"HON",1848-02-03,-3
"PER",1839-08-15,-1
"PER",1879-12-22,-1
"GMY",1840-06-07,-9
"GMY",1848-12-04,-9
"NTH",1840-10-07,-7
"NTH",1848-10-14,-7
"BOL",1841-06-30,0
"BOL",1841-11-19,0
"BOL",1841-11-20,-3
"BOL",1864-12-27,-3
"SAL",1841-02-15,-1
"SAL",1855-06-29,-1
"POR",1842-02-05,-4
"POR",1855-06-29,-4
"DOM",1844-02-26,-3
"DOM",1861-03-17,-3
"GRC",1844-03-30,-4
"GRC",1862-02-12,-4
"SPN",1845-05-24,-2
"SPN",1852-12-14,-2
"MEX",1846-08-18,0
"MEX",1848-02-01,0
"BEL",1847-08-11,4
"BEL",1908-11-13,4
"LBR",1847-07-25,4
"LBR",1884-06-29,4
"LUX",1847-08-11,4
"LUX",1908-11-13,4
"AUS",1848-03-03,-6
"AUS",1861-02-14,-6
"FRN",1848-02-23,6
"FRN",1851-12-01,6
"GMY",1848-12-05,-8
"GMY",1854-10-11,-8
"HON",1848-02-04,0
"HON",1852-10-30,0
"MEX",1848-02-02,-3
"MEX",1863-06-06,-3
"NTH",1848-10-15,-4
"NTH",1849-06-29,-4
"AUH",1848-03-03,-6
"AUH",1861-02-14,-6
"DEN",1849-06-05,2
"DEN",1866-07-27,2
"NTH",1849-06-30,-3
"NTH",1889-12-05,-3
"GUA",1850-10-22,-1
"GUA",1854-04-29,-1
"USA",1850-01-28,9
"USA",1854-05-28,9
"CHL",1851-12-08,0
"CHL",1874-06-29,0
"FRN",1851-12-02,0
"FRN",1852-11-01,0
"ARG",1852-12-02,0
"ARG",1853-04-30,0
"FRN",1852-11-02,-8
"FRN",1860-11-23,-8
"HON",1852-10-31,0
"HON",1854-04-27,0
"SPN",1852-12-15,-5
"SPN",1859-06-29,-5
"ARG",1853-05-01,-3
"ARG",1880-09-20,-3
"GMY",1854-10-12,-9
"GMY",1858-06-29,-9
"GUA",1854-04-30,-3
"GUA",1871-06-19,-3
"HON",1854-04-28,0
"HON",1864-02-14,0
"USA",1854-05-29,8
"USA",1860-12-18,8
"ETH",1855-02-10,4
"ETH",1930-11-01,4
"POR",1855-06-30,-6
"POR",1860-06-29,-6
"SAL",1855-06-30,0
"SAL",1858-06-29,0
"NEW",1857-06-30,10
"NEW",1876-10-31,10
"GMY",1858-06-30,-8
"GMY",1859-12-04,-8
"JPN",1858-07-29,0
"JPN",1868-01-02,0
"SAL",1858-06-30,-1
"SAL",1903-06-29,-1
"GMY",1859-12-05,-7
"GMY",1862-09-21,-7
"ROM",1859-01-23,0
"ROM",1864-03-27,0
"SPN",1859-06-30,-6
"SPN",1868-09-17,-6
"CHN",1860-10-12,0
"CHN",1862-06-29,0
"COL",1860-06-30,0
"COL",1861-07-17,0
"FRN",1860-11-24,0
"FRN",1863-05-31,0
"POR",1860-06-30,-7
"POR",1880-06-29,-7
"USA",1860-12-19,0
"USA",1865-05-08,0
"AUS",1861-02-15,-4
"AUS",1867-10-14,-4
"COL",1861-07-18,-5
"COL",1867-05-22,-5
"DOM",1861-03-18,0
"DOM",1865-04-30,0
"ITA",1861-03-16,-4
"ITA",1900-07-28,-4
"AUH",1861-02-15,-4
"AUH",1867-10-14,-4
"CHN",1862-06-30,-6
"CHN",1911-10-14,-6
"GMY",1862-09-22,-7
"GMY",1867-07-07,-7
"GRC",1862-02-13,0
"GRC",1864-11-27,0
"FRN",1863-06-01,-6
"FRN",1869-09-05,-6
"MEX",1863-06-07,0
"MEX",1864-04-09,0
"BOL",1864-12-28,-7
"BOL",1872-11-26,-7
"GRC",1864-11-28,7
"GRC",1870-06-29,7
"HON",1864-02-15,-3
"HON",1894-10-13,-3
"MEX",1864-04-10,-3
"MEX",1867-05-13,-3
"ROM",1864-03-28,-2
"ROM",1866-02-22,-2
"DOM",1865-05-01,-3
"DOM",1914-06-25,-3
"USA",1865-05-09,7
"USA",1872-05-31,7
"DEN",1866-07-28,-1
"DEN",1870-06-29,-1
"ROM",1866-02-23,-7
