"name","date","major"
"AFG",1816-07-26,0
"ALB",1816-07-26,0
"ALG",1816-07-26,0
"ANG",1816-07-26,0
"ARG",1816-07-26,0
"AUH",1816-07-26,1
"AUL",1816-07-26,0
"AUS",1816-07-26,0
"BEL",1816-07-26,0
"BNG",1816-07-26,0
"BOL",1816-07-26,0
"BRA",1816-07-26,0
"BUL",1816-07-26,0
"CAM",1816-07-26,0
"CAN",1816-07-26,0
"CEN",1816-07-26,0
"CHA",1816-07-26,0
"CHL",1816-07-26,0
"CHN",1816-07-26,0
"COL",1816-07-26,0
"CON",1816-07-26,0
"COS",1816-07-26,0
"CRO",1816-07-26,0
"CUB",1816-07-26,0
"CZE",1816-07-26,0
"DEN",1816-07-26,0
"DOM",1816-07-26,0
"DRC",1816-07-26,0
"DRV",1816-07-26,0
"ECU",1816-07-26,0
"EGY",1816-07-26,0
"ERI",1816-07-26,0
"EST",1816-07-26,0
"ETH",1816-07-26,0
"FIN",1816-07-26,0
"FRN",1816-07-26,1
"GDR",1816-07-26,0
"GFR",1816-07-26,0
"GHA",1816-07-26,0
"GMY",1816-07-26,1
"GRC",1816-07-26,0
"GUA",1816-07-26,0
"GUI",1816-07-26,0
"HAI",1816-07-26,0
"HON",1816-07-26,0
"HUN",1816-07-26,0
"IND",1816-07-26,0
"INS",1816-07-26,0
"IRN",1816-07-26,0
"IRQ",1816-07-26,0
"ISR",1816-07-26,0
"ITA",1816-07-26,0
"JOR",1816-07-26,0
"JPN",1816-07-26,0
"KEN",1816-07-26,0
"KUW",1816-07-26,0
"KYR",1816-07-26,0
"LAO",1816-07-26,0
"LBR",1816-07-26,0
"LEB",1816-07-26,0
"LIB",1816-07-26,0
"LIT",1816-07-26,0
"LUX",1816-07-26,0
"MAL",1816-07-26,0
"MEX",1816-07-26,0
"MOR",1816-07-26,0
"MYA",1816-07-26,0
"NEW",1816-07-26,0
"NIC",1816-07-26,0
"NIG",1816-07-26,0
"NOR",1816-07-26,0
"NTH",1816-07-26,0
"PAK",1816-07-26,0
"PAN",1816-07-26,0
"PAR",1816-07-26,0
"PER",1816-07-26,0
"PHI",1816-07-26,0
"PNG",1816-07-26,0
"POL",1816-07-26,0
"POR",1816-07-26,0
"PRK",1816-07-26,0
"QAT",1816-07-26,0
"ROK",1816-07-26,0
"ROM",1816-07-26,0
"RUS",1816-07-26,1
"RVN",1816-07-26,0
"RWA",1816-07-26,0
"SAF",1816-07-26,0
"SAL",1816-07-26,0
"SAU",1816-07-26,0
"SEN",1816-07-26,0
"SIE",1816-07-26,0
"SOM",1816-07-26,0
"SPN",1816-07-26,0
"SUD",1816-07-26,0
"SYR",1816-07-26,0
"TAJ",1816-07-26,0
"TAW",1816-07-26,0
"TAZ",1816-07-26,0
"THI",1816-07-26,0
"TUN",1816-07-26,0
"TUR",1816-07-26,0
"UAE",1816-07-26,0
"UGA",1816-07-26,0
"UKG",1816-07-26,1
"USA",1816-07-26,0
"UZB",1816-07-26,0
"VEN",1816-07-26,0
"YAR",1816-07-26,0
"YPR",1816-07-26,0
"YUG",1816-07-26,0
"ZAM",1816-07-26,0
"ZIM",1816-07-26,0
"ITA",1859-12-31,1
"JPN",1895-03-31,1
"USA",1898-08-12,1
"RUS",1917-12-03,0
"AUH",1918-11-01,0
"GMY",1918-11-09,0
"RUS",1921-12-31,1
"GMY",1924-12-31,1
"FRN",1940-06-20,0
"ITA",1943-08-31,0
"GMY",1945-05-05,0
"JPN",1945-08-12,0
"FRN",1945-08-13,1
"CHN",1949-12-30,1
"GMY",1991-12-09,1
"JPN",1991-12-09,1
"UKG",2016-12-29,0
"USA",2016-12-29,0
"RUS",2016-12-29,0
"FRN",2016-12-29,0
"CHN",2016-12-29,0
"GMY",2016-12-29,0
"JPN",2016-12-29,0
