"name","date","religion_id","islam","christianity"
"AFG",1816-07-26,5,1,0
"ALB",1816-07-26,5,1,0
"ALG",1816-07-26,5,1,0
"ANG",1816-07-26,3,0,1
"ARG",1816-07-26,3,0,1
"AUH",1816-07-26,3,0,1
"AUL",1816-07-26,3,0,1
"AUS",1816-07-26,3,0,1
"BEL",1816-07-26,3,0,1
"BNG",1816-07-26,5,1,0
"BOL",1816-07-26,3,0,1
"BRA",1816-07-26,3,0,1
"BUL",1816-07-26,3,0,1
"CAM",1816-07-26,2,0,0
"CAN",1816-07-26,3,0,1
"CEN",1816-07-26,1,0,0
"CHA",1816-07-26,5,1,0
"CHL",1816-07-26,3,0,1
"CHN",1816-07-26,7,0,0
"COL",1816-07-26,3,0,1
"CON",1816-07-26,3,0,1
"COS",1816-07-26,3,0,1
"CRO",1816-07-26,3,0,1
"CUB",1816-07-26,3,0,1
"CZE",1816-07-26,3,0,1
"DEN",1816-07-26,3,0,1
"DOM",1816-07-26,3,0,1
"DRC",1816-07-26,3,0,1
"DRV",1816-07-26,7,0,0
"ECU",1816-07-26,3,0,1
"EGY",1816-07-26,5,1,0
"ERI",1816-07-26,5,1,0
"EST",1816-07-26,7,0,0
"ETH",1816-07-26,3,0,1
"FIN",1816-07-26,3,0,1
"FRN",1816-07-26,3,0,1
"GDR",1816-07-26,3,0,1
"GFR",1816-07-26,3,0,1
"GHA",1816-07-26,3,0,1
"GMY",1816-07-26,3,0,1
"GRC",1816-07-26,3,0,1
"GUA",1816-07-26,3,0,1
"GUI",1816-07-26,1,0,0
"HAI",1816-07-26,3,0,1
"HON",1816-07-26,3,0,1
"HUN",1816-07-26,3,0,1
"IND",1816-07-26,4,0,0
"INS",1816-07-26,5,1,0
"IRN",1816-07-26,5,1,0
"IRQ",1816-07-26,5,1,0
"ISR",1816-07-26,6,0,0
"ITA",1816-07-26,3,0,1
"JOR",1816-07-26,5,1,0
"JPN",1816-07-26,8,0,0
"KEN",1816-07-26,3,0,1
"KUW",1816-07-26,5,1,0
"KYR",1816-07-26,5,1,0
"LAO",1816-07-26,2,0,0
"LBR",1816-07-26,1,0,0
"LEB",1816-07-26,3,0,1
"LIB",1816-07-26,5,1,0
"LIT",1816-07-26,3,0,1
"LUX",1816-07-26,3,0,1
"MAL",1816-07-26,9,0,0
"MEX",1816-07-26,3,0,1
"MOR",1816-07-26,5,1,0
"MYA",1816-07-26,2,0,0
"NEW",1816-07-26,3,0,1
"NIC",1816-07-26,3,0,1
"NIG",1816-07-26,3,0,1
"NOR",1816-07-26,3,0,1
"NTH",1816-07-26,3,0,1
"PAK",1816-07-26,5,1,0
"PAN",1816-07-26,3,0,1
"PAR",1816-07-26,3,0,1
"PER",1816-07-26,3,0,1
"PHI",1816-07-26,3,0,1
"PNG",1816-07-26,3,0,1
"POL",1816-07-26,3,0,1
"POR",1816-07-26,3,0,1
"PRK",1816-07-26,1,0,0
"QAT",1816-07-26,5,1,0
"ROK",1816-07-26,1,0,0
"ROM",1816-07-26,3,0,1
"RUS",1816-07-26,7,0,0
"RVN",1816-07-26,2,0,0
"RWA",1816-07-26,3,0,1
"SAF",1816-07-26,3,0,1
"SAL",1816-07-26,3,0,1
"SAU",1816-07-26,5,1,0
"SEN",1816-07-26,5,1,0
"SIE",1816-07-26,1,0,0
"SOM",1816-07-26,5,1,0
"SPN",1816-07-26,3,0,1
"SUD",1816-07-26,5,1,0
"SYR",1816-07-26,5,1,0
"TAJ",1816-07-26,5,1,0
"TAW",1816-07-26,2,0,0
"TAZ",1816-07-26,1,0,0
"THI",1816-07-26,2,0,0
"TUN",1816-07-26,5,1,0
"TUR",1816-07-26,5,1,0
"UAE",1816-07-26,5,1,0
"UGA",1816-07-26,3,0,1
"UKG",1816-07-26,3,0,1
"USA",1816-07-26,3,0,1
"UZB",1816-07-26,5,1,0
"VEN",1816-07-26,3,0,1
"YAR",1816-07-26,5,1,0
"YPR",1816-07-26,5,1,0
"YUG",1816-07-26,3,0,1
"ZAM",1816-07-26,3,0,1
"ZIM",1816-07-26,1,0,0
