"date","sender_id","receiver_id","sender","receiver","year","class","contrition","symbolic","desc"
1947-03-04,"United States_gov","Mexico_gov","United States","Mexico",1947,"international","3_apology",TRUE,"U.S. President Harry Truman laid a wreath and bowed his head at monument at Chapultepec Castle bearing the names of six teenage cadets that died during the Mexican-American war in 1847."
1957-01-01,"Japan_gov","Myanmar_gov","Japan","Myanmar",1957,"international","3_apology",FALSE,"Japanese Prime Minister Kishi Nobusuke apologized to the people of Burma for WWII"
1957-01-01,"Japan_gov","Australia_gov","Japan","Australia",1957,"international","2_regret",FALSE,"Japanese Prime Minister Kishi Nobusuke expressed heartfelt sorrow for WWII"
1965-06-22,"Japan_gov","South Korea_gov","Japan","South Korea",1965,"international","2_regret",FALSE,"Japanese Foreign Minister Shinna Etsusaburo expressed Òsincere regretÓ and Òdeep remorseÓ over the Òunfortunate periodÓ in relations between South Korea and Japan."
1970-12-07,"Germany_gov","Poland_gov","Germany","Poland",1970,"international","3_apology",TRUE,"West German Chancellor Willy Brandt fell to his knees in front of the Warsaw Ghetto memorial."
1974-04-09,"Pakistan_gov","Bangladesh_gov","Pakistan","Bangladesh",1974,"international","3_apology",FALSE,"Pakistan apologized for its army's violence during 1971 Bangladesh war"
1975-10-03,"Japan_gov","United States_gov","Japan","United States",1975,"international","2_regret",FALSE,"Japanese Emperor Hirohito called World War II Òthat most unfortunate war which I deeply deploreÓ during US visit."
1982-08-26,"Japan_gov","South Korea_gov","Japan","South Korea",1982,"international","2_regret",FALSE,"Japanese Chief Cabinet Secretary Kiichi Miyazawa expressed remorse to the people of the Republic of Korea and China for 'serious damage in the past'"
1984-09-06,"Japan_gov","South Korea_gov","Japan","South Korea",1984,"international","2_regret",FALSE,"Japanese Emperor Hirohito told visiting South Korean President that Òit is regrettable that there was an unfortunate period in this century.Ó"
1984-09-07,"Japan_gov","South Korea_gov","Japan","South Korea",1984,"international","2_regret",FALSE,"Japanese Prime Minister Yasuhiro Nakasone expressed regret for suffering inflicted by Japan"
1985-10-23,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",1985,"multilateral","3_apology",FALSE,"Japanese Prime Minister Yasuhiro Nakasone apologized for JapanÕs role in World War II in an address to the United Nations."
1986-06-03,"Switzerland_gov","Switzerland_min","Switzerland",NA,1986,"domestic","3_apology",FALSE,"Swiss Federal President Alphons Egli apologized officially for the injustice inflicted on the Yenish in Switzerland"
1988-08-10,"United States_gov","United States_min","United States","United States",1988,"domestic","3_apology",FALSE,"U.S. President Ronald Reagan signed into law the Civil Liberties Act of 1988, which grants an apology for the internment of Japanese Americans during World War II.Ê "
1988-08-10,"United States_gov","United States_min","United States","United States",1988,"domestic","4_apology_redress",FALSE,"U.S. President Ronald Reagan signed an Act that apologized and allocates funds for the Aleut people's forced wartime relocation"
1989-03-17,"Portugal_gov","Portugal_min","Portugal","Sephardic Jews",1989,"domestic","3_apology",FALSE,"President Mrio Soares met members of PortugalÕs Jewish community and formally apologized for the Inquisition."
1989-03-30,"Japan_gov","North Korea_gov","Japan","North Korea",1989,"international","2_regret",FALSE,"Japan expressed regret and sorrow for having caused suffering and loss to many people in neighboring countries"
1990-04-12,"Germany_gov","Israel_gov","Germany","Israel",1990,"international","3_apology",FALSE,"East German parliament issued an apology for Nazi crimes."
1990-04-12,"Germany_gov","Czechia_gov","Germany","Czechia",1990,"international","3_apology",FALSE,"East German parliament apologized to Czechoslovakia for complicity in Prague Spring"
1990-04-14,"Russia_gov","Poland_gov","Russia","Poland",1990,"international","2_regret",FALSE,"Soviet President Mikhail Gorbachev expressed deep regret for the 1940 massacre of Polish POWs at the Katyn forest."
1990-05-24,"Japan_gov","South Korea_gov","Japan","South Korea",1990,"international","2_regret",FALSE,"Japanese Emperor AkihitoÕs expressed regret to South Korean leader Roh Tae Woo for the occupation of Korea from 1910 to 1945."
1990-05-25,"Japan_gov","South Korea_gov","Japan","South Korea",1990,"international","2_regret",FALSE,"Japanese Prime Minister Toshiki Kaifu expressed regret for the suffering brought by Japan during 'certain period' in the past in a meeting with President Roh Tae Woo."
1990-11-04,"Canada_gov","Canada_min","Canada","Canada",1990,"domestic","3_apology",FALSE,"Canadian Prime Minister Brian Mulroney apologized for the wrongs done to Canadians of Italian origin during World War II."
1991-03-04,"Chile_gov","Chile_min","Chile","Chile",1991,"domestic","3_apology",FALSE,"Chilean President Patricio Aylwin apologized to families for 2,000 killings by the secret police during military rule under Gen. Augusto Pinochet."
1991-07-08,"Austria_gov","holocaust_victims","Austria","holocaust_victims",1991,"multilateral","1_acknowledge",FALSE,"Austrian Bundeskanzler Franz Vanitzky declares in speech for the Nationalrat that Austria must accept its role in the Holocaust"
1991-10-09,"United States_gov","United States_min","United States","Japanese Americans",1991,"domestic","3_apology",FALSE,"U.S. President George W. Bush issued letters of formal apology to living survivors of the Japanese Americans who were interned during World War II"
1992-01-16,"Japan_gov","South Korea_gov","Japan","South Korea",1992,"international","3_apology",FALSE,"Japanese Prime Minister Kiichi Miyazawa apologized for the 'unbearable suffering' caused by Japan in the past, in a speech at dinner with South Korean President Roh Tae Woo"
1992-01-17,"Japan_gov","comfort_women","Japan","comfort_women",1992,"multilateral","3_apology",FALSE,"Japanese Prime Minister Kiichi Miyazawa apologized for JapanÕs use of Òcomfort women.Ó"
