actor1,actor2,colonial
Afghanistan_gov,Angola_gov,0
Afghanistan_gov,Antigua and Barbuda_gov,0
Afghanistan_gov,Argentina_gov,0
Afghanistan_gov,Armenia_gov,0
Afghanistan_gov,Australia_gov,0
Afghanistan_gov,Austria_gov,0
Afghanistan_gov,Bangladesh_gov,0
Afghanistan_gov,Belarus_gov,0
Afghanistan_gov,Belgium_gov,0
Afghanistan_gov,Benin_gov,0
Afghanistan_gov,Bolivia_gov,0
Afghanistan_gov,Bosnia and Herzegovina_gov,0
Afghanistan_gov,Brazil_gov,0
Afghanistan_gov,Burkina Faso_gov,0
Afghanistan_gov,Canada_gov,0
Afghanistan_gov,Chile_gov,0
Afghanistan_gov,China_gov,0
Afghanistan_gov,Colombia_gov,0
Afghanistan_gov,Congo_gov,0
Afghanistan_gov,Croatia_gov,0
Afghanistan_gov,Czechia_gov,0
Afghanistan_gov,Democratic Republic of the Congo_gov,0
Afghanistan_gov,Denmark_gov,0
Afghanistan_gov,Ecuador_gov,0
Afghanistan_gov,El Salvador_gov,0
Afghanistan_gov,Ethiopia_gov,0
Afghanistan_gov,Finland_gov,0
Afghanistan_gov,France_gov,0
Afghanistan_gov,Germany_gov,0
Afghanistan_gov,Ghana_gov,0
Afghanistan_gov,Greece_gov,0
Afghanistan_gov,Guatemala_gov,0
Afghanistan_gov,Hungary_gov,0
Afghanistan_gov,India_gov,0
Afghanistan_gov,Indonesia_gov,0
Afghanistan_gov,Iraq_gov,0
Afghanistan_gov,Ireland_gov,0
Afghanistan_gov,Israel_gov,0
Afghanistan_gov,Italy_gov,0
Afghanistan_gov,Jamaica_gov,0
Afghanistan_gov,Japan_gov,0
Afghanistan_gov,Jordan_gov,0
Afghanistan_gov,Kenya_gov,0
Afghanistan_gov,Kuwait_gov,0
Afghanistan_gov,Latvia_gov,0
Afghanistan_gov,Libya_gov,0
Afghanistan_gov,Lithuania_gov,0
Afghanistan_gov,Luxembourg_gov,0
Afghanistan_gov,Mexico_gov,0
Afghanistan_gov,Monaco_gov,0
Afghanistan_gov,Montenegro_gov,0
Afghanistan_gov,Myanmar_gov,0
Afghanistan_gov,Namibia_gov,0
Afghanistan_gov,Nepal_gov,0
Afghanistan_gov,Netherlands_gov,0
Afghanistan_gov,New Zealand_gov,0
Afghanistan_gov,Nigeria_gov,0
Afghanistan_gov,North Korea_gov,0
Afghanistan_gov,Norway_gov,0
Afghanistan_gov,Pakistan_gov,0
Afghanistan_gov,Paraguay_gov,0
Afghanistan_gov,Peru_gov,0
Afghanistan_gov,Poland_gov,0
Afghanistan_gov,Portugal_gov,0
Afghanistan_gov,Qatar_gov,0
Afghanistan_gov,Russia_gov,0
Afghanistan_gov,Rwanda_gov,0
Afghanistan_gov,Samoa_gov,0
Afghanistan_gov,Serbia_gov,0
Afghanistan_gov,Sierra Leone_gov,0
Afghanistan_gov,Slovakia_gov,0
Afghanistan_gov,Solomon Islands_gov,0
Afghanistan_gov,South Africa_gov,0
Afghanistan_gov,South Korea_gov,0
Afghanistan_gov,South Sudan_gov,0
Afghanistan_gov,Spain_gov,0
Afghanistan_gov,Sri Lanka_gov,0
Afghanistan_gov,State of Palestine_gov,0
Afghanistan_gov,Suriname_gov,0
Afghanistan_gov,Sweden_gov,0
Afghanistan_gov,Switzerland_gov,0
Afghanistan_gov,Taiwan_gov,0
Afghanistan_gov,Timor-Leste_gov,0
Afghanistan_gov,Togo_gov,0
Afghanistan_gov,Turkey_gov,0
Afghanistan_gov,Uganda_gov,0
Afghanistan_gov,United Kingdom_gov,0
Afghanistan_gov,United States_gov,0
Afghanistan_gov,Vietnam_gov,0
Afghanistan_gov,Yemen_gov,0
Angola_gov,Afghanistan_gov,0
Angola_gov,Antigua and Barbuda_gov,0
Angola_gov,Argentina_gov,0
Angola_gov,Armenia_gov,0
Angola_gov,Australia_gov,0
Angola_gov,Austria_gov,0
Angola_gov,Bangladesh_gov,0
