name,time,western,ex_colonizer,major_power
Afghanistan_gov,0.0,0,0,0
Angola_gov,0.0,0,0,0
Antigua and Barbuda_gov,0.0,0,0,0
Argentina_gov,0.0,0,0,0
Armenia_gov,0.0,0,0,0
Australia_gov,0.0,1,0,0
Austria_gov,0.0,1,0,0
Belarus_gov,0.0,0,0,0
Belgium_gov,0.0,1,1,0
Benin_gov,0.0,0,0,0
Bolivia_gov,0.0,0,0,0
Brazil_gov,0.0,0,0,0
Burkina Faso_gov,0.0,0,0,0
Canada_gov,0.0,1,0,0
Chile_gov,0.0,0,0,0
Colombia_gov,0.0,0,0,0
Croatia_gov,0.0,0,0,0
Czechia_gov,0.0,0,0,0
Denmark_gov,0.0,1,0,0
Ecuador_gov,0.0,0,0,0
El Salvador_gov,0.0,0,0,0
Ethiopia_gov,0.0,0,0,0
Finland_gov,0.0,1,0,0
France_gov,0.0,1,1,1
Germany_gov,0.0,1,1,0
Germany_gov,44.978,1,1,1
Guatemala_gov,0.0,0,0,0
Hungary_gov,0.0,0,0,0
India_gov,0.0,0,0,0
Indonesia_gov,0.0,0,0,0
Iraq_gov,0.0,0,0,0
Ireland_gov,0.0,1,0,0
Israel_gov,0.0,1,0,0
Italy_gov,0.0,1,1,0
Jamaica_gov,0.0,0,0,0
Japan_gov,0.0,1,1,0
Japan_gov,44.978,1,1,1
Kenya_gov,0.0,0,0,0
Latvia_gov,0.0,0,0,0
Lithuania_gov,0.0,0,0,0
Luxembourg_gov,0.0,1,0,0
Mexico_gov,0.0,0,0,0
Monaco_gov,0.0,1,0,0
Montenegro_gov,0.0,0,0,0
Myanmar_gov,0.0,0,0,0
Nepal_gov,0.0,0,0,0
Netherlands_gov,0.0,1,1,0
New Zealand_gov,0.0,1,0,0
Nigeria_gov,0.0,0,0,0
North Korea_gov,0.0,0,0,0
Norway_gov,0.0,1,0,0
Pakistan_gov,0.0,0,0,0
Paraguay_gov,0.0,0,0,0
Peru_gov,0.0,0,0,0
Poland_gov,0.0,0,0,0
Portugal_gov,0.0,1,1,0
Qatar_gov,0.0,0,0,0
Russia_gov,0.0,0,1,1
Serbia_gov,0.0,0,0,0
Sierra Leone_gov,0.0,0,0,0
Slovakia_gov,0.0,0,0,0
Solomon Islands_gov,0.0,0,0,0
South Africa_gov,0.0,0,0,0
South Korea_gov,0.0,0,0,0
South Sudan_gov,0.0,0,0,0
Spain_gov,0.0,1,1,0
Sri Lanka_gov,0.0,0,0,0
Suriname_gov,0.0,0,0,0
Sweden_gov,0.0,1,0,0
Switzerland_gov,0.0,1,0,0
Taiwan_gov,0.0,0,0,0
Timor-Leste_gov,0.0,0,0,0
Togo_gov,0.0,0,0,0
Turkey_gov,0.0,0,0,0
Uganda_gov,0.0,0,0,0
United Kingdom_gov,0.0,1,1,1
United States_gov,0.0,1,1,1
Yemen_gov,0.0,0,0,0
