"id","name","ccode","long_name"
1,"AFG",700,"Afghanistan"
2,"ALB",339,"Albania"
3,"ALG",615,"Algeria"
4,"ANG",540,"Angola"
5,"ARG",160,"Argentina"
6,"AUH",300,"Austria-Hungary"
7,"AUL",900,"Australia"
8,"AUS",305,"Austria"
9,"BEL",211,"Belgium"
10,"BNG",771,"Bangladesh"
11,"BOL",145,"Bolivia"
12,"BRA",140,"Brazil"
13,"BUL",355,"Bulgaria"
14,"CAM",811,"Cambodia"
15,"CAN",20,"Canada"
16,"CEN",482,"Central African Republic"
17,"CHA",483,"Chad"
18,"CHL",155,"Chile"
19,"CHN",710,"China"
20,"COL",100,"Colombia"
21,"CON",484,"Congo"
22,"COS",94,"Costa Rica"
23,"CRO",344,"Croatia"
24,"CUB",40,"Cuba"
25,"CZE",315,"Czechoslovakia"
26,"DEN",390,"Denmark"
27,"DOM",42,"Dominican Republic"
28,"DRC",490,"Democratic Republic of the Congo"
29,"DRV",816,"Vietnam"
30,"ECU",130,"Ecuador"
31,"EGY",651,"Egypt"
32,"ERI",531,"Eritrea"
33,"EST",366,"Estonia"
34,"ETH",530,"Ethiopia"
35,"FIN",375,"Finland"
36,"FRN",220,"France"
37,"GDR",265,"German Democratic Republic"
38,"GFR",260,"German Federal Republic"
39,"GHA",452,"Ghana"
40,"GMY",255,"Germany"
41,"GRC",350,"Greece"
42,"GUA",90,"Guatemala"
43,"GUI",438,"Guinea"
44,"HAI",41,"Haiti"
45,"HON",91,"Honduras"
46,"HUN",310,"Hungary"
47,"IND",750,"India"
48,"INS",850,"Indonesia"
49,"IRN",630,"Iran"
50,"IRQ",645,"Iraq"
51,"ISR",666,"Israel"
52,"ITA",325,"Italy"
53,"JOR",663,"Jordan"
54,"JPN",740,"Japan"
55,"KEN",501,"Kenya"
56,"KUW",690,"Kuwait"
57,"KYR",703,"Kyrgyzstan"
58,"LAO",812,"Laos"
59,"LBR",450,"Liberia"
60,"LEB",660,"Lebanon"
61,"LIB",620,"Libya"
62,"LIT",368,"Lithuania"
63,"LUX",212,"Luxembourg"
64,"MAL",820,"Malaysia"
65,"MEX",70,"Mexico"
66,"MOR",600,"Morocco"
67,"MYA",775,"Myanmar"
68,"NEW",920,"New Zealand"
69,"NIC",93,"Nicaragua"
70,"NIG",475,"Nigeria"
71,"NOR",385,"Norway"
72,"NTH",210,"Netherlands"
73,"PAK",770,"Pakistan"
74,"PAN",95,"Panama"
75,"PAR",150,"Paraguay"
76,"PER",135,"Peru"
77,"PHI",840,"Philippines"
78,"PNG",910,"Papua New Guinea"
79,"POL",290,"Poland"
80,"POR",235,"Portugal"
81,"PRK",731,"North Korea"
82,"QAT",694,"Qatar"
83,"ROK",732,"South Korea"
84,"ROM",360,"Romania"
85,"RUS",365,"Russia"
86,"RVN",817,"Republic of Vietnam"
87,"RWA",517,"Rwanda"
88,"SAF",560,"South Africa"
89,"SAL",92,"El Salvador"
90,"SAU",670,"Saudi Arabia"
91,"SEN",433,"Senegal"
92,"SIE",451,"Sierra Leone"
93,"SOM",520,"Somalia"
94,"SPN",230,"Spain"
95,"SUD",625,"Sudan"
96,"SYR",652,"Syria"
97,"TAJ",702,"Tajikistan"
98,"TAW",713,"Taiwan"
99,"TAZ",510,"Tanzania"
100,"THI",800,"Thailand"
101,"TUN",616,"Tunisia"
102,"TUR",640,"Turkey"
103,"UAE",696,"United Arab Emirates"
104,"UGA",500,"Uganda"
105,"UKG",200,"United Kingdom"
106,"USA",2,"United States of America"
107,"UZB",704,"Uzbekistan"
108,"VEN",101,"Venezuela"
109,"YAR",678,"Yemen Arab Republic"
110,"YPR",680,"Yemen People's Republic"
111,"YUG",345,"Yugoslavia"
112,"ZAM",551,"Zambia"
113,"ZIM",552,"Zimbabwe"
