"date","actor1","actor2","alliance"
1816-01-01,"UKG","POR",1
1816-01-01,"GMY","AUH",1
1850-01-01,"GMY","AUH",1
1816-01-01,"UKG","GMY",1
1816-01-01,"UKG","AUH",1
1816-01-01,"UKG","RUS",1
1816-01-01,"GMY","RUS",1
1816-01-01,"AUH","RUS",1
1816-01-01,"NTH","SPN",1
1831-01-01,"AUH","ITA",1
1832-01-01,"UKG","FRN",1
1833-01-01,"GMY","AUH",1
1833-01-01,"GMY","RUS",1
1833-01-01,"AUH","RUS",1
1833-01-01,"RUS","TUR",1
1834-01-01,"UKG","FRN",1
1834-01-01,"UKG","SPN",1
1834-01-01,"UKG","POR",1
1834-01-01,"SPN","POR",1
1840-01-01,"UKG","GMY",1
1840-01-01,"UKG","AUH",1
1840-01-01,"UKG","RUS",1
1840-01-01,"UKG","TUR",1
1840-01-01,"GMY","AUH",1
1840-01-01,"GMY","RUS",1
1840-01-01,"GMY","TUR",1
1840-01-01,"AUH","RUS",1
1840-01-01,"AUH","TUR",1
1840-01-01,"RUS","TUR",1
1847-01-01,"UKG","FRN",1
1847-01-01,"UKG","SPN",1
1847-01-01,"UKG","POR",1
1847-01-01,"FRN","SPN",1
1847-01-01,"FRN","POR",1
1847-01-01,"SPN","POR",1
1851-01-01,"GMY","AUH",1
1854-01-01,"UKG","FRN",1
1855-01-01,"UKG","ITA",1
1854-01-01,"UKG","TUR",1
1855-01-01,"FRN","ITA",1
1854-01-01,"FRN","TUR",1
1855-01-01,"ITA","TUR",1
1854-01-01,"GMY","AUH",1
1854-01-01,"AUH","TUR",1
1854-01-01,"UKG","AUH",1
1854-01-01,"FRN","AUH",1
1855-01-01,"UKG","FRN",1
1856-01-01,"UKG","FRN",1
1856-01-01,"UKG","AUH",1
1856-01-01,"FRN","AUH",1
1859-01-01,"BRA","ARG",1
1859-01-01,"FRN","ITA",1
1860-01-01,"ECU","PER",1
1863-01-01,"GMY","RUS",1
1863-01-01,"PER","BOL",1
1864-01-01,"COL","ECU",1
