"name","year","date","cinc"
"USA",1816,1816-12-30,0.039697491
"USA",1817,1817-12-30,0.03581661
"USA",1818,1818-12-30,0.036126547
"USA",1819,1819-12-30,0.03713325
"USA",1820,1820-12-30,0.037086867
"USA",1821,1821-12-30,0.034173075
"USA",1822,1822-12-30,0.032939076
"USA",1823,1823-12-30,0.033107504
"USA",1824,1824-12-30,0.032977588
"USA",1825,1825-12-30,0.034215014
"USA",1826,1826-12-30,0.036425188
"USA",1827,1827-12-30,0.035708901
"USA",1828,1828-12-30,0.035687946
"USA",1829,1829-12-30,0.03748225
"USA",1830,1830-12-30,0.038483679
"USA",1831,1831-12-30,0.042001393
"USA",1832,1832-12-30,0.044544697
"USA",1833,1833-12-30,0.048138127
"USA",1834,1834-12-30,0.04777348
"USA",1835,1835-12-30,0.048520003
"USA",1836,1836-12-30,0.050953005
"USA",1837,1837-12-30,0.053536404
"USA",1838,1838-12-30,0.053272706
"USA",1839,1839-12-30,0.050800554
"USA",1840,1840-12-30,0.049549963
"USA",1841,1841-12-30,0.050864942
"USA",1842,1842-12-30,0.049301073
"USA",1843,1843-12-30,0.051081475
"USA",1844,1844-12-30,0.057326183
"USA",1845,1845-12-30,0.061653126
"USA",1846,1846-12-30,0.082757324
"USA",1847,1847-12-30,0.084509611
"USA",1848,1848-12-30,0.087174244
"USA",1849,1849-12-30,0.073096491
"USA",1850,1850-12-30,0.072471224
"USA",1851,1851-12-30,0.067707323
"USA",1852,1852-12-30,0.071873814
"USA",1853,1853-12-30,0.078743748
"USA",1854,1854-12-30,0.074200429
"USA",1855,1855-12-30,0.075997368
"USA",1856,1856-12-30,0.07840921
"USA",1857,1857-12-30,0.083294868
"USA",1858,1858-12-30,0.083430812
"USA",1859,1859-12-30,0.083074376
"USA",1860,1860-12-30,0.077372178
"USA",1861,1861-12-30,0.14442921
"USA",1862,1862-12-30,0.1763908
"USA",1863,1863-12-30,0.17896698
"USA",1864,1864-12-30,0.19291268
"USA",1865,1865-12-30,0.13546522
"USA",1866,1866-12-30,0.098171704
"USA",1867,1867-12-30,0.11413383
"USA",1868,1868-12-30,0.10664034
"USA",1869,1869-12-30,0.10800558
"USA",1870,1870-12-30,0.098999612
"USA",1871,1871-12-30,0.098380953
"USA",1872,1872-12-30,0.1152826
"USA",1873,1873-12-30,0.11626876
"USA",1874,1874-12-30,0.11424514
"USA",1875,1875-12-30,0.10696469
"USA",1876,1876-12-30,0.10191685
"USA",1877,1877-12-30,0.10465261
"USA",1878,1878-12-30,0.10834531
"USA",1879,1879-12-30,0.12033306
"USA",1880,1880-12-30,0.1254597
"USA",1881,1881-12-30,0.12642455
"USA",1882,1882-12-30,0.1310108
"USA",1883,1883-12-30,0.13134626
"USA",1884,1884-12-30,0.13138734
"USA",1885,1885-12-30,0.13126135
"USA",1886,1886-12-30,0.1461353
"USA",1887,1887-12-30,0.15109947
"USA",1888,1888-12-30,0.1523269
"USA",1889,1889-12-30,0.15484266
"USA",1890,1890-12-30,0.16539624
"USA",1891,1891-12-30,0.16558971
"USA",1892,1892-12-30,0.17333591
"USA",1893,1893-12-30,0.16572861
"USA",1894,1894-12-30,0.15442234
"USA",1895,1895-12-30,0.16809899
"USA",1896,1896-12-30,0.16001122
"USA",1897,1897-12-30,0.16910996
