"date","actor1","actor2","contiguity"
1816-07-26,"USA","CAN",1
1816-07-26,"USA","MEX",1
1816-07-26,"CAN","USA",1
1816-07-26,"HAI","DOM",1
1816-07-26,"DOM","HAI",1
1816-07-26,"MEX","USA",1
1816-07-26,"MEX","BLZ",1
1816-07-26,"MEX","GUA",1
1816-07-26,"BLZ","MEX",1
1816-07-26,"BLZ","GUA",1
1816-07-26,"GUA","MEX",1
1816-07-26,"GUA","BLZ",1
1816-07-26,"GUA","HON",1
1816-07-26,"GUA","SAL",1
1816-07-26,"HON","GUA",1
1816-07-26,"HON","SAL",1
1816-07-26,"HON","NIC",1
1816-07-26,"SAL","GUA",1
1816-07-26,"SAL","HON",1
1816-07-26,"NIC","HON",1
1816-07-26,"NIC","COS",1
1816-07-26,"COS","NIC",1
1816-07-26,"COS","PAN",1
1816-07-26,"PAN","COS",1
1816-07-26,"PAN","COL",1
1816-07-26,"COL","PAN",1
1816-07-26,"COL","VEN",1
1816-07-26,"COL","ECU",1
1816-07-26,"COL","PER",1
1816-07-26,"COL","BRA",1
1816-07-26,"VEN","COL",1
1816-07-26,"VEN","GUY",1
1816-07-26,"VEN","BRA",1
1816-07-26,"GUY","VEN",1
1816-07-26,"GUY","SUR",1
1816-07-26,"GUY","BRA",1
1816-07-26,"SUR","GUY",1
1816-07-26,"SUR","BRA",1
1816-07-26,"ECU","COL",1
1816-07-26,"ECU","PER",1
1816-07-26,"ECU","BRA",1
1816-07-26,"PER","COL",1
1816-07-26,"PER","ECU",1
1816-07-26,"PER","BRA",1
1816-07-26,"PER","BOL",1
1816-07-26,"PER","CHL",1
1816-07-26,"BRA","COL",1
1816-07-26,"BRA","VEN",1
1816-07-26,"BRA","GUY",1
1816-07-26,"BRA","SUR",1
1816-07-26,"BRA","ECU",1
1816-07-26,"BRA","PER",1
1816-07-26,"BRA","BOL",1
1816-07-26,"BRA","PAR",1
1816-07-26,"BRA","ARG",1
1816-07-26,"BRA","URU",1
1816-07-26,"BOL","PER",1
