"name","year","date","milex"
"USA",1816,1816-12-30,3823
"USA",1817,1817-12-30,2466
"USA",1818,1818-12-30,1910
"USA",1819,1819-12-30,2301
"USA",1820,1820-12-30,1556
"USA",1821,1821-12-30,1612
"USA",1822,1822-12-30,1079
"USA",1823,1823-12-30,1170
"USA",1824,1824-12-30,1261
"USA",1825,1825-12-30,1336
"USA",1826,1826-12-30,1658
"USA",1827,1827-12-30,1663
"USA",1828,1828-12-30,1622
"USA",1829,1829-12-30,1678
"USA",1830,1830-12-30,1687
"USA",1831,1831-12-30,1835
"USA",1832,1832-12-30,1896
"USA",1833,1833-12-30,2445
"USA",1834,1834-12-30,2073
"USA",1835,1835-12-30,2001
"USA",1836,1836-12-30,2571
"USA",1837,1837-12-30,3121
"USA",1838,1838-12-30,3083
"USA",1839,1839-12-30,2012
"USA",1840,1840-12-30,2755
"USA",1841,1841-12-30,3042
"USA",1842,1842-12-30,3011
"USA",1843,1843-12-30,1364
"USA",1844,1844-12-30,2432
"USA",1845,1845-12-30,3534
"USA",1846,1846-12-30,9506
"USA",1847,1847-12-30,7431
"USA",1848,1848-12-30,8106
"USA",1849,1849-12-30,3558
"USA",1850,1850-12-30,4302
"USA",1851,1851-12-30,3525
"USA",1852,1852-12-30,4226
"USA",1853,1853-12-30,4605
"USA",1854,1854-12-30,5765
"USA",1855,1855-12-30,5892
"USA",1856,1856-12-30,6117
"USA",1857,1857-12-30,7499
"USA",1858,1858-12-30,7297
"USA",1859,1859-12-30,5638
"USA",1860,1860-12-30,7060
"USA",1861,1861-12-30,95362
"USA",1862,1862-12-30,136769
"USA",1863,1863-12-30,119662
"USA",1864,1864-12-30,157390
"USA",1865,1865-12-30,30471
"USA",1866,1866-12-30,17821
"USA",1867,1867-12-30,30698
"USA",1868,1868-12-30,20154
"USA",1869,1869-12-30,16559
"USA",1870,1870-12-30,13128
"USA",1871,1871-12-30,11811
"USA",1872,1872-12-30,14246
"USA",1873,1873-12-30,15014
"USA",1874,1874-12-30,12899
"USA",1875,1875-12-30,11720
"USA",1876,1876-12-30,10749
"USA",1877,1877-12-30,9074
"USA",1878,1878-12-30,11367
"USA",1879,1879-12-30,10527
"USA",1880,1880-12-30,11414
"USA",1881,1881-12-30,11973
"USA",1882,1882-12-30,13040
"USA",1883,1883-12-30,11425
"USA",1884,1884-12-30,11438
"USA",1885,1885-12-30,9748
"USA",1886,1886-12-30,10382
"USA",1887,1887-12-30,10765
"USA",1888,1888-12-30,12647
"USA",1889,1889-12-30,13195
"USA",1890,1890-12-30,14788
"USA",1891,1891-12-30,15315
"USA",1892,1892-12-30,15654
"USA",1893,1893-12-30,16964
"USA",1894,1894-12-30,16001
"USA",1895,1895-12-30,15187
"USA",1896,1896-12-30,16382
"USA",1897,1897-12-30,30249
"USA",1898,1898-12-30,60011
"USA",1899,1899-12-30,38588
"USA",1900,1900-12-30,41481
"USA",1901,1901-12-30,36087
"USA",1902,1902-12-30,39722
"USA",1903,1903-12-30,43814
"USA",1904,1904-12-30,47918
"USA",1905,1905-12-30,45098
"USA",1906,1906-12-30,43602
"USA",1907,1907-12-30,58725
"USA",1908,1908-12-30,54189
"USA",1909,1909-12-30,56177
"USA",1910,1910-12-30,55880
"USA",1911,1911-12-30,57157
"USA",1912,1912-12-30,58992
"USA",1913,1913-12-30,62825
"USA",1914,1914-12-29,253205
"USA",1915,1915-12-29,257648
"USA",1916,1916-12-29,277421
"USA",1917,1917-12-29,658584
"USA",1918,1918-12-30,7014226
"USA",1919,1919-12-30,11217796
"USA",1920,1920-12-30,1657118
"USA",1921,1921-12-30,1116342
"USA",1922,1922-12-30,860853
"USA",1923,1923-12-30,678256
"USA",1924,1924-12-30,570142
"USA",1925,1925-12-30,589706
"USA",1926,1926-12-30,558004
"USA",1927,1927-12-30,596501
"USA",1928,1928-12-30,678100
"USA",1929,1929-12-30,701300
"USA",1930,1930-12-30,699200
"USA",1931,1931-12-30,698900
"USA",1932,1932-12-30,641600
"USA",1933,1933-12-30,570400
"USA",1934,1934-12-30,803100
"USA",1935,1935-12-30,806400
"USA",1936,1936-12-30,932600
"USA",1937,1937-12-30,1032900
"USA",1938,1938-12-30,1131499
"USA",1939,1939-12-30,980000
"USA",1940,1940-12-29,1657000
"USA",1941,1941-12-29,6301000
"USA",1942,1942-12-29,26001000
"USA",1943,1943-12-29,72109000
"USA",1944,1944-12-29,8.7e+07
"USA",1945,1945-12-29,9e+07
"USA",1946,1946-12-29,45133984
"USA",1947,1947-12-29,14315999
"USA",1948,1948-12-29,10960998
"USA",1949,1949-12-29,13503000
"USA",1950,1950-12-29,14559000
"USA",1951,1951-12-29,33398000
"USA",1952,1952-12-29,47852000
"USA",1953,1953-12-29,49621008
"USA",1954,1954-12-29,42786000
"USA",1955,1955-12-29,40518000
"USA",1956,1956-12-29,41773008
"USA",1957,1957-12-29,44548000
"USA",1958,1958-12-29,45503008
"USA",1959,1959-12-29,46614000
"USA",1960,1960-12-29,45380000
"USA",1961,1961-12-29,47808000
"USA",1962,1962-12-29,52381008
"USA",1963,1963-12-29,52295008
"USA",1964,1964-12-29,51213008
"USA",1965,1965-12-29,51827008
"USA",1966,1966-12-29,67572000
"USA",1967,1967-12-29,75448000
"USA",1968,1968-12-29,80732000
"USA",1969,1969-12-29,81446000
"USA",1970,1970-12-29,77827008
"USA",1971,1971-12-29,74862000
"USA",1972,1972-12-29,77639000
"USA",1973,1973-12-29,78385000
"USA",1974,1974-12-29,85906000
"USA",1975,1975-12-29,90948000
"USA",1976,1976-12-29,91013000
"USA",1977,1977-12-29,100925000
"USA",1978,1978-12-29,109247000
"USA",1979,1979-12-29,122279000
"USA",1980,1980-12-29,143981000
"USA",1981,1981-12-29,169888000
"USA",1982,1982-12-29,196345000
"USA",1983,1983-12-29,217198000
"USA",1984,1984-12-29,237052000
"USA",1985,1985-12-29,245154000
"USA",1986,1986-12-29,265480000
"USA",1987,1987-12-29,273966000
"USA",1988,1988-12-29,281935000
"USA",1989,1989-12-29,294880000
"USA",1990,1990-12-29,289755000
"USA",1991,1991-12-29,262389000
"USA",1992,1992-12-29,286892000
"USA",1993,1993-12-29,297600000
"USA",1994,1994-12-29,293214000
"USA",1995,1995-12-29,277834000
"USA",1996,1996-12-29,277254000
"USA",1997,1997-12-29,276324000
"USA",1998,1998-12-29,279702000
"USA",1999,1999-12-29,292147000
"USA",2000,2000-12-29,303136000
"USA",2001,2001-12-29,322365000
"USA",2002,2002-12-29,348555000
"USA",2003,2003-12-29,404920000
"USA",2004,2004-12-29,455908000
"USA",2005,2005-12-29,495326000
"USA",2006,2006-12-29,521840000
"USA",2007,2007-12-29,552568000
"USA",2008,2008-12-29,616073000
"USA",2009,2009-12-29,662049000
"USA",2010,2010-12-29,693600000
"USA",2011,2011-12-29,6.87e+08
"USA",2012,2012-12-29,655388000
"USA",2013,2013-12-29,600400000
"USA",2014,2014-12-29,5.81e+08
"USA",2015,2015-12-29,597503000
"USA",2016,2016-12-29,604452000
"CAN",1920,1920-12-30,10755
"CAN",1921,1921-12-30,10209
"CAN",1922,1922-12-30,10028
"CAN",1923,1923-12-30,13316
"CAN",1924,1924-12-30,12824
"CAN",1925,1925-12-30,12984
"CAN",1926,1926-12-30,13936
"CAN",1927,1927-12-30,16745
"CAN",1928,1928-12-30,18862
"CAN",1929,1929-12-30,21058
"CAN",1930,1930-12-30,22649
"CAN",1931,1931-12-30,18263
"CAN",1932,1932-12-30,11999
"CAN",1933,1933-12-30,17149
"CAN",1934,1934-12-30,12943
"CAN",1935,1935-12-30,24921
"CAN",1936,1936-12-30,24762
"CAN",1937,1937-12-30,32419
"CAN",1938,1938-12-30,35282
"CAN",1939,1939-12-30,125700
"CAN",1940,1940-12-29,730100
"CAN",1941,1941-12-29,1038380
"CAN",1942,1942-12-29,2321324
"CAN",1943,1943-12-29,3841192
"CAN",1944,1944-12-29,3622309
"CAN",1945,1945-12-29,2664365
"CAN",1946,1946-12-29,1552759
"CAN",1947,1947-12-29,385771
"CAN",1948,1948-12-29,195025
"CAN",1949,1949-12-29,370149
"CAN",1950,1950-12-29,447964
"CAN",1951,1951-12-29,1150942
"CAN",1952,1952-12-29,1843656
"CAN",1953,1953-12-29,2028835
"CAN",1954,1954-12-29,1818274
"CAN",1955,1955-12-29,1883021
"CAN",1956,1956-12-29,1889889
"CAN",1957,1957-12-29,1905207
"CAN",1958,1958-12-29,1766497
"CAN",1959,1959-12-29,1703318
"CAN",1960,1960-12-29,1735570
"CAN",1961,1961-12-29,1722891
"CAN",1962,1962-12-29,1735210
"CAN",1963,1963-12-29,1588421
"CAN",1964,1964-12-29,1677304
"CAN",1965,1965-12-29,1544548
"CAN",1966,1966-12-29,1642790
"CAN",1967,1967-12-29,1813063
"CAN",1968,1968-12-29,1782772
"CAN",1969,1969-12-29,1770133
"CAN",1970,1970-12-29,1920602
"CAN",1971,1971-12-29,2110319
"CAN",1972,1972-12-29,2260834
"CAN",1973,1973-12-29,2404759
"CAN",1974,1974-12-29,2926380
"CAN",1975,1975-12-29,3074729
"CAN",1976,1976-12-29,3639959
"CAN",1977,1977-12-29,3877762
"CAN",1978,1978-12-29,4016964
"CAN",1979,1979-12-29,4119005
"CAN",1980,1980-12-29,4387240
"CAN",1981,1981-12-29,5246444
"CAN",1982,1982-12-29,6182339
"CAN",1983,1983-12-29,6562003
"CAN",1984,1984-12-29,7195604
"CAN",1985,1985-12-29,6809000
"CAN",1986,1986-12-29,7180000
"CAN",1987,1987-12-29,7960000
"CAN",1988,1988-12-29,8830000
"CAN",1989,1989-12-29,9480000
"CAN",1990,1990-12-29,10280000
"CAN",1991,1991-12-29,11420000
"CAN",1992,1992-12-29,10310000
"CAN",1993,1993-12-29,9600000
"CAN",1994,1994-12-29,9695000
"CAN",1995,1995-12-29,9126000
"CAN",1996,1996-12-29,8624000
"CAN",1997,1997-12-29,7801000
"CAN",1998,1998-12-29,7677000
"CAN",1999,1999-12-29,8395000
"CAN",2000,2000-12-29,8320000
"CAN",2001,2001-12-29,7745000
"CAN",2002,2002-12-29,8522000
