"name","year","date","milper"
"USA",1816,1816-12-30,17
"USA",1817,1817-12-30,15
"USA",1818,1818-12-30,14
"USA",1819,1819-12-30,13
"USA",1820,1820-12-30,15
"USA",1821,1821-12-30,11
"USA",1822,1822-12-30,10
"USA",1823,1823-12-30,11
"USA",1824,1824-12-30,11
"USA",1825,1825-12-30,11
"USA",1826,1826-12-30,12
"USA",1827,1827-12-30,12
"USA",1828,1828-12-30,11
"USA",1829,1829-12-30,12
"USA",1830,1830-12-30,12
"USA",1831,1831-12-30,11
"USA",1832,1832-12-30,12
"USA",1833,1833-12-30,13
"USA",1834,1834-12-30,13
"USA",1835,1835-12-30,14
"USA",1836,1836-12-30,17
"USA",1837,1837-12-30,22
"USA",1838,1838-12-30,18
"USA",1839,1839-12-30,19
"USA",1840,1840-12-30,22
"USA",1841,1841-12-30,21
"USA",1842,1842-12-30,23
"USA",1843,1843-12-30,21
"USA",1844,1844-12-30,21
"USA",1845,1845-12-30,21
"USA",1846,1846-12-30,39
"USA",1847,1847-12-30,58
"USA",1848,1848-12-30,60
"USA",1849,1849-12-30,23
"USA",1850,1850-12-30,21
"USA",1851,1851-12-30,21
"USA",1852,1852-12-30,21
"USA",1853,1853-12-30,21
"USA",1854,1854-12-30,21
"USA",1855,1855-12-30,26
"USA",1856,1856-12-30,26
"USA",1857,1857-12-30,27
"USA",1858,1858-12-30,29
"USA",1859,1859-12-30,29
"USA",1860,1860-12-30,28
"USA",1861,1861-12-30,217
"USA",1862,1862-12-30,673
"USA",1863,1863-12-30,960
"USA",1864,1864-12-30,1032
"USA",1865,1865-12-30,1063
"USA",1866,1866-12-30,77
"USA",1867,1867-12-30,75
"USA",1868,1868-12-30,66
"USA",1869,1869-12-30,52
"USA",1870,1870-12-30,50
"USA",1871,1871-12-30,42
"USA",1872,1872-12-30,42
"USA",1873,1873-12-30,43
"USA",1874,1874-12-30,44
"USA",1875,1875-12-30,38
"USA",1876,1876-12-30,41
"USA",1877,1877-12-30,34
"USA",1878,1878-12-30,36
"USA",1879,1879-12-30,38
"USA",1880,1880-12-30,38
"USA",1881,1881-12-30,38
"USA",1882,1882-12-30,38
"USA",1883,1883-12-30,37
"USA",1884,1884-12-30,39
"USA",1885,1885-12-30,39
"USA",1886,1886-12-30,39
"USA",1887,1887-12-30,39
"USA",1888,1888-12-30,39
"USA",1889,1889-12-30,39
"USA",1890,1890-12-30,39
"USA",1891,1891-12-30,38
"USA",1892,1892-12-30,39
"USA",1893,1893-12-30,39
"USA",1894,1894-12-30,42
"USA",1895,1895-12-30,42
"USA",1896,1896-12-30,42
"USA",1897,1897-12-30,44
"USA",1898,1898-12-30,236
"USA",1899,1899-12-30,100
"USA",1900,1900-12-30,126
"USA",1901,1901-12-30,112
"USA",1902,1902-12-30,111
"USA",1903,1903-12-30,106
"USA",1904,1904-12-30,110
"USA",1905,1905-12-30,108
"USA",1906,1906-12-30,112
"USA",1907,1907-12-30,108
"USA",1908,1908-12-30,129
"USA",1909,1909-12-30,142
"USA",1910,1910-12-30,139
"USA",1911,1911-12-30,145
"USA",1912,1912-12-30,153
"USA",1913,1913-12-30,155
"USA",1914,1914-12-29,166
"USA",1915,1915-12-29,174
"USA",1916,1916-12-29,179
"USA",1917,1917-12-29,644
"USA",1918,1918-12-30,2897
"USA",1919,1919-12-30,1173
"USA",1920,1920-12-30,343
"USA",1921,1921-12-30,387
"USA",1922,1922-12-30,270
"USA",1923,1923-12-30,247
"USA",1924,1924-12-30,261
"USA",1925,1925-12-30,252
"USA",1926,1926-12-30,247
"USA",1927,1927-12-30,249
"USA",1928,1928-12-30,251
"USA",1929,1929-12-30,255
"USA",1930,1930-12-30,256
"USA",1931,1931-12-30,253
"USA",1932,1932-12-30,245
"USA",1933,1933-12-30,244
"USA",1934,1934-12-30,247
"USA",1935,1935-12-30,252
"USA",1936,1936-12-30,291
"USA",1937,1937-12-30,312
"USA",1938,1938-12-30,323
"USA",1939,1939-12-30,334
"USA",1940,1940-12-29,458
"USA",1941,1941-12-29,1801
"USA",1942,1942-12-29,3859
"USA",1943,1943-12-29,9045
"USA",1944,1944-12-29,11452
"USA",1945,1945-12-29,12123
"USA",1946,1946-12-29,3030
"USA",1947,1947-12-29,1583
"USA",1948,1948-12-29,1446
"USA",1949,1949-12-29,1615
"USA",1950,1950-12-29,1460
"USA",1951,1951-12-29,3249
"USA",1952,1952-12-29,3636
"USA",1953,1953-12-29,3555
"USA",1954,1954-12-29,3302
"USA",1955,1955-12-29,2935
"USA",1956,1956-12-29,2806
"USA",1957,1957-12-29,2796
"USA",1958,1958-12-29,2411
"USA",1959,1959-12-29,2328
"USA",1960,1960-12-29,2306
"USA",1961,1961-12-29,2307
"USA",1962,1962-12-29,2807
"USA",1963,1963-12-29,2700
"USA",1964,1964-12-29,2687
"USA",1965,1965-12-29,2660
"USA",1966,1966-12-29,3090
"USA",1967,1967-12-29,3380
"USA",1968,1968-12-29,3550
"USA",1969,1969-12-29,3460
"USA",1970,1970-12-29,3070
"USA",1971,1971-12-29,2720
"USA",1972,1972-12-29,2323
"USA",1973,1973-12-29,2206
"USA",1974,1974-12-29,2146
"USA",1975,1975-12-29,2098
"USA",1976,1976-12-29,2075
"USA",1977,1977-12-29,2060
"USA",1978,1978-12-29,2060
"USA",1979,1979-12-29,2033
"USA",1980,1980-12-29,2050
"USA",1981,1981-12-29,2101
"USA",1982,1982-12-29,2168
"USA",1983,1983-12-29,2201
"USA",1984,1984-12-29,2222
"USA",1985,1985-12-29,2244
"USA",1986,1986-12-29,2269
"USA",1987,1987-12-29,2280
"USA",1988,1988-12-29,2250
"USA",1989,1989-12-29,2240
"USA",1990,1990-12-29,2180
"USA",1991,1991-12-29,2110
"USA",1992,1992-12-29,1920
"USA",1993,1993-12-29,1810
"USA",1994,1994-12-29,1710
"USA",1995,1995-12-29,1620
