"name","year","date","tpop"
"USA",1816,1816-12-30,8659
"USA",1817,1817-12-30,8899
"USA",1818,1818-12-30,9139
"USA",1819,1819-12-30,9379
"USA",1820,1820-12-30,9618
"USA",1821,1821-12-30,9939
"USA",1822,1822-12-30,10268
"USA",1823,1823-12-30,10596
"USA",1824,1824-12-30,10924
"USA",1825,1825-12-30,11252
"USA",1826,1826-12-30,11580
"USA",1827,1827-12-30,11909
"USA",1828,1828-12-30,12237
"USA",1829,1829-12-30,12565
"USA",1830,1830-12-30,12901
"USA",1831,1831-12-30,13321
"USA",1832,1832-12-30,13742
"USA",1833,1833-12-30,14162
"USA",1834,1834-12-30,14582
"USA",1835,1835-12-30,15003
"USA",1836,1836-12-30,15423
"USA",1837,1837-12-30,15843
"USA",1838,1838-12-30,16264
"USA",1839,1839-12-30,16684
"USA",1840,1840-12-30,17120
"USA",1841,1841-12-30,17733
"USA",1842,1842-12-30,18345
"USA",1843,1843-12-30,18957
"USA",1844,1844-12-30,19569
"USA",1845,1845-12-30,20182
"USA",1846,1846-12-30,20794
"USA",1847,1847-12-30,21406
"USA",1848,1848-12-30,22018
"USA",1849,1849-12-30,22631
"USA",1850,1850-12-30,23261
"USA",1851,1851-12-30,24086
"USA",1852,1852-12-30,24911
"USA",1853,1853-12-30,25736
"USA",1854,1854-12-30,26561
"USA",1855,1855-12-30,27386
"USA",1856,1856-12-30,28212
"USA",1857,1857-12-30,29037
"USA",1858,1858-12-30,29862
"USA",1859,1859-12-30,30687
"USA",1860,1860-12-30,31513
"USA",1861,1861-12-30,32351
"USA",1862,1862-12-30,33188
"USA",1863,1863-12-30,34026
"USA",1864,1864-12-30,34863
"USA",1865,1865-12-30,35701
"USA",1866,1866-12-30,36538
"USA",1867,1867-12-30,37376
"USA",1868,1868-12-30,38213
"USA",1869,1869-12-30,39051
"USA",1870,1870-12-30,39905
"USA",1871,1871-12-30,40938
"USA",1872,1872-12-30,41972
"USA",1873,1873-12-30,43006
"USA",1874,1874-12-30,44040
"USA",1875,1875-12-30,45073
"USA",1876,1876-12-30,46107
"USA",1877,1877-12-30,47141
"USA",1878,1878-12-30,48174
"USA",1879,1879-12-30,49208
"USA",1880,1880-12-30,50262
"USA",1881,1881-12-30,51542
"USA",1882,1882-12-30,52821
"USA",1883,1883-12-30,54100
"USA",1884,1884-12-30,55379
"USA",1885,1885-12-30,56658
"USA",1886,1886-12-30,57938
"USA",1887,1887-12-30,59217
"USA",1888,1888-12-30,60496
"USA",1889,1889-12-30,61775
"USA",1890,1890-12-30,63056
"USA",1891,1891-12-30,64361
"USA",1892,1892-12-30,65666
"USA",1893,1893-12-30,66970
"USA",1894,1894-12-30,68275
"USA",1895,1895-12-30,69580
"USA",1896,1896-12-30,70885
"USA",1897,1897-12-30,72189
"USA",1898,1898-12-30,73494
"USA",1899,1899-12-30,74799
"USA",1900,1900-12-30,76094
"USA",1901,1901-12-30,77584
"USA",1902,1902-12-30,79163
"USA",1903,1903-12-30,80632
"USA",1904,1904-12-30,82166
"USA",1905,1905-12-30,83822
"USA",1906,1906-12-30,85450
"USA",1907,1907-12-30,87008
"USA",1908,1908-12-30,88710
"USA",1909,1909-12-30,90490
"USA",1910,1910-12-30,92407
"USA",1911,1911-12-30,93863
"USA",1912,1912-12-30,95335
"USA",1913,1913-12-30,97225
"USA",1914,1914-12-29,99111
"USA",1915,1915-12-29,100546
"USA",1916,1916-12-29,101961
"USA",1917,1917-12-29,103268
"USA",1918,1918-12-30,103208
"USA",1919,1919-12-30,104514
"USA",1920,1920-12-30,106461
"USA",1921,1921-12-30,108538
"USA",1922,1922-12-30,110049
"USA",1923,1923-12-30,111947
"USA",1924,1924-12-30,114109
"USA",1925,1925-12-30,115829
"USA",1926,1926-12-30,117397
"USA",1927,1927-12-30,119035
