"time","actor1","actor2","end_date","outcome","highact","hihost","fatlev"
1816-07-27,"USA","SPN",1816-07-27,"Win A","Raid",4,"None"
1817-09-12,"RUS","TUR",1817-11-01,"Yield B","Fortify border",3,"None"
1818-03-15,"USA","SPN",1818-05-30,"Win A","Raid",4,"None"
1821-03-10,"AUH","ITA",1821-04-08,"Win A","Clash",4,"None"
1821-07-18,"RUS","TUR",1821-08-10,"Statlemate","Seizure",4,"None"
1821-08-27,"FRN","SPN",1822-02-27,"Ongoing","Show of troops",3,"None"
1821-08-27,"FRN","SPN",1822-02-27,"Statlemate","Show of troops",3,"None"
1822-09-21,"FRN","SPN",1823-11-13,"Ongoing","Fortify border",3,"None"
1822-09-21,"FRN","SPN",1823-11-13,"Win A","Begin Interstate War",5,"1,000+"
1823-01-06,"GMY","SPN",1823-01-06,"Win A","Threat to use force",2,"None"
1823-01-06,"AUH","SPN",1823-01-06,"Win A","Threat to use force",2,"None"
1823-01-06,"RUS","SPN",1823-01-06,"Win A","Threat to use force",2,"None"
1825-09-25,"ITA","TUR",1825-09-26,"Statlemate","Clash",4,"26-100"
1826-04-05,"RUS","TUR",1826-10-06,"Yield B","Show of troops",3,"None"
1826-07-06,"FRN","BRA",1826-07-06,"Yield B","Show of Ships",3,"None"
1826-10-30,"UKG","BRA",1826-10-30,"Yield B","Threat to use force",2,"None"
1827-08-16,"UKG","TUR",1828-04-30,"Ongoing","Raid",4,"None"
1827-08-16,"UKG","TUR",1828-04-30,"Win A","Raid",4,"1,000+"
1827-08-16,"FRN","TUR",1828-04-30,"Ongoing","Raid",4,"None"
1827-08-16,"FRN","TUR",1828-04-30,"Win A","Raid",4,"1,000+"
1827-08-16,"RUS","TUR",1828-04-30,"Ongoing","Raid",4,"None"
1827-08-16,"RUS","TUR",1828-04-30,"Win A","Raid",4,"1,000+"
1827-11-01,"RUS","TUR",1829-09-14,"Ongoing","Declaration of War",4,"None"
1827-11-01,"RUS","TUR",1829-09-14,"Ongoing","Begin Interstate War",5,"None"
1827-11-01,"RUS","TUR",1829-09-14,"Win A","Begin Interstate War",5,"1,000+"
