"time","actor1","actor2","end_date","outcome","highact","hihost","fatlev"
1817-09-12,"RUS","TUR",1817-11-01,"Yield B","Fortify border",3,"None"
1821-07-18,"RUS","TUR",1821-08-10,"Statlemate","Seizure",4,"None"
1826-04-05,"RUS","TUR",1826-10-06,"Yield B","Show of troops",3,"None"
1827-08-16,"UKG","TUR",1828-04-30,"Ongoing","Raid",4,"None"
1827-08-16,"UKG","TUR",1828-04-30,"Win A","Raid",4,"1,000+"
1827-08-16,"FRN","TUR",1828-04-30,"Ongoing","Raid",4,"None"
1827-08-16,"FRN","TUR",1828-04-30,"Win A","Raid",4,"1,000+"
1827-08-16,"RUS","TUR",1828-04-30,"Ongoing","Raid",4,"None"
1827-08-16,"RUS","TUR",1828-04-30,"Win A","Raid",4,"1,000+"
1827-11-01,"RUS","TUR",1829-09-14,"Ongoing","Declaration of War",4,"None"
1827-11-01,"RUS","TUR",1829-09-14,"Ongoing","Begin Interstate War",5,"None"
1827-11-01,"RUS","TUR",1829-09-14,"Win A","Begin Interstate War",5,"1,000+"
1828-07-20,"FRN","TUR",1828-08-28,"Yield B","Occupation of territory",4,"None"
1830-08-28,"RUS","FRN",1830-09-30,"Statlemate","Threat to use force",2,"None"
1831-02-05,"UKG","FRN",1831-02-05,"Yield B","Threat to declare war",2,"None"
1833-06-22,"UKG","RUS",1833-07-10,"Yield B","Show of Ships",3,"None"
1833-06-22,"UKG","TUR",1833-07-10,"Yield B","Show of Ships",3,"None"
1833-06-22,"FRN","RUS",1833-07-10,"Yield B","Show of Ships",3,"None"
1833-06-22,"FRN","TUR",1833-07-10,"Yield B","Show of Ships",3,"None"
1835-11-01,"FRN","USA",1835-12-31,"Yield B","Alert",3,"None"
1837-12-29,"UKG","USA",1838-01-05,"Ongoing","Raid",4,"None"
1837-12-29,"UKG","USA",1838-01-05,"Statlemate","Raid",4,"None"
1839-01-01,"USA","UKG",1839-03-23,"Compromise","Seizure",4,"None"
1846-01-01,"UKG","USA",1846-06-08,"Compromise","Show of Ships",3,"None"
1849-10-06,"UKG","RUS",1849-11-13,"Statlemate","Show of Ships",3,"None"
1849-10-06,"FRN","RUS",1849-11-13,"Statlemate","Show of Ships",3,"None"
1849-11-01,"TUR","RUS",1849-11-13,"Statlemate","Threat to use force",2,"None"
1852-04-01,"FRN","TUR",1852-06-30,"Yield B","Show of Ships",3,"None"
1853-02-01,"RUS","TUR",1853-02-25,"Yield B","Show of troops",3,"None"
1853-05-31,"RUS","TUR",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-05-31,"RUS","TUR",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-05-31,"RUS","TUR",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-05-31,"RUS","TUR",1856-03-30,"Win B","Begin Interstate War",5,"1,000+"
1853-06-13,"RUS","UKG",1856-03-30,"Ongoing","Show of Ships",3,"None"
1853-06-13,"RUS","UKG",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-06-13,"RUS","UKG",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-06-13,"RUS","UKG",1856-03-30,"Win B","Begin Interstate War",5,"1,000+"
1853-06-13,"RUS","FRN",1856-03-30,"Ongoing","Show of Ships",3,"None"
1853-06-13,"RUS","FRN",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-06-13,"RUS","FRN",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-06-13,"RUS","FRN",1856-03-30,"Win B","Begin Interstate War",5,"1,000+"
1854-07-09,"USA","UKG",1854-10-30,"Statlemate","Raid",4,"None"
1856-05-10,"UKG","USA",1856-05-31,"Statlemate","Raid",4,"None"
1856-07-01,"UKG","IRN",1857-04-05,"Ongoing","Begin Interstate War",5,"None"
1856-07-01,"UKG","IRN",1857-04-05,"Win A","Begin Interstate War",5,"1,000+"
1858-01-01,"UKG","USA",1858-06-08,"Yield B","Raid",4,"None"
1860-12-20,"USA","UKG",1860-12-20,"Statlemate","Threat to use force",2,"None"
1860-12-20,"USA","FRN",1860-12-20,"Statlemate","Threat to use force",2,"None"
1861-08-27,"RUS","UKG",1861-09-21,"Yield B","Occupation of territory",4,"26-100"
1861-11-07,"USA","UKG",1861-12-26,"Released","Seizure",4,"None"
1865-08-01,"USA","FRN",1866-02-12,"Ongoing","Show of troops",3,"None"
1865-08-01,"USA","FRN",1866-02-12,"Yield B","Show of troops",3,"None"
1876-05-01,"UKG","RUS",1876-05-31,"Statlemate","Show of Ships",3,"None"
1876-05-06,"UKG","TUR",1876-05-30,"Yield B","Show of Ships",3,"None"
1876-05-13,"RUS","TUR",1876-05-13,"Statlemate","Threat to use force",2,"None"
1876-10-31,"RUS","TUR",1878-01-31,"Ongoing","Mobilization",3,"None"
1876-10-31,"RUS","TUR",1878-01-31,"Ongoing","Begin Interstate War",5,"None"
1876-10-31,"RUS","TUR",1878-01-31,"Win A","Begin Interstate War",5,"1,000+"
1877-05-06,"UKG","RUS",1878-06-13,"Ongoing","Show of Ships",3,"None"
1877-05-06,"UKG","RUS",1878-06-13,"Yield B","Show of Ships",3,"None"
1880-06-07,"UKG","TUR",1881-02-25,"Ongoing","Show of Ships",3,"None"
1880-06-07,"UKG","TUR",1881-02-25,"Yield B","Show of Ships",3,"None"
1880-07-01,"FRN","TUR",1880-11-25,"Yield B","Show of Ships",3,"None"
1880-09-14,"RUS","TUR",1880-11-25,"Yield B","Show of Ships",3,"None"
1881-01-01,"UKG","USA",1881-01-31,"Yield B","Show of Ships",3,"None"
1881-03-01,"TUR","FRN",1881-08-31,"Yield B","Show of troops",3,"None"
1882-07-03,"UKG","EGY",1882-09-15,"Win A","Begin Interstate War",5,"1,000+"
1882-07-03,"FRN","EGY",1882-07-10,"Win A","Alert",3,"None"
1885-03-12,"UKG","RUS",1885-05-22,"Compromise","Mobilization",3,"None"
1887-05-22,"RUS","TUR",1887-05-22,"Statlemate","Threat to occupy terr.",2,"None"
1888-02-01,"FRN","UKG",1888-03-31,"Statlemate","Show of Ships",3,"None"
1893-07-01,"FRN","UKG",1893-08-03,"Win A","Show of Ships",3,"None"
1893-12-23,"FRN","UKG",1893-12-23,"Statlemate","Clash",4,"None"
1895-02-11,"FRN","USA",1895-03-11,"Compromise","Show of Ships",3,"None"
1895-10-15,"UKG","TUR",1895-12-31,"Yield B","Show of Ships",3,"None"
1896-12-01,"FRN","UKG",1898-06-14,"Ongoing","Clash",4,"None"
1896-12-01,"FRN","UKG",1898-06-14,"Ongoing","Clash",4,"None"
1896-12-01,"FRN","UKG",1898-06-14,"Compromise","Clash",4,"None"
1897-02-15,"UKG","TUR",1897-08-15,"Yield B","Raid",4,"None"
1897-02-15,"FRN","TUR",1897-08-15,"Yield B","Raid",4,"None"
1897-02-15,"RUS","TUR",1897-08-15,"Yield B","Raid",4,"None"
1898-09-06,"UKG","TUR",1898-10-05,"Yield B","Raid",4,"None"
1898-09-06,"FRN","TUR",1898-10-05,"Yield B","Threat to use force",2,"None"
1898-09-18,"UKG","FRN",1898-11-04,"Yield B","Show of troops",3,"None"
1898-10-05,"RUS","TUR",1898-10-05,"Yield B","Threat to use force",2,"None"
1902-07-01,"USA","UKG",1903-01-24,"Ongoing","Show of troops",3,"None"
1902-07-01,"USA","UKG",1903-01-24,"Compromise","Show of troops",3,"None"
1902-09-20,"RUS","TUR",1902-10-02,"Yield B","Show of Ships",3,"None"
1902-12-08,"UKG","USA",1903-02-19,"Ongoing","Raid",4,"None"
1902-12-08,"UKG","USA",1903-02-19,"Compromise","Raid",4,"None"
1903-10-01,"USA","UKG",1903-10-20,"Yield B","Threat to use force",2,"None"
1904-10-21,"RUS","UKG",1904-11-05,"Yield B","Raid",4,"None"
1905-01-11,"UKG","TUR",1905-12-06,"Yield B","Occupation of territory",4,"None"
1905-01-11,"FRN","TUR",1905-12-06,"Yield B","Occupation of territory",4,"None"
1905-01-11,"RUS","TUR",1905-12-06,"Yield B","Occupation of territory",4,"None"
1906-02-01,"TUR","UKG",1906-05-12,"Yield B","Occupation of territory",4,"None"
1907-08-05,"TUR","IRN",1908-08-20,"Ongoing","Clash",4,"None"
1907-08-05,"TUR","IRN",1908-08-20,"Statlemate","Clash",4,"None"
1908-04-16,"RUS","IRN",1908-06-17,"Statlemate","Raid",4,"None"
1909-07-17,"RUS","IRN",1910-01-17,"Ongoing","Show of troops",3,"None"
1909-07-17,"RUS","IRN",1910-01-17,"Statlemate","Show of troops",3,"None"
1910-03-15,"UKG","IRN",1910-10-14,"Yield B","Show of Ships",3,"None"
1911-11-02,"RUS","IRN",1912-09-29,"Ongoing","Clash",4,"None"
1911-11-02,"RUS","IRN",1912-09-29,"Win A","Clash",4,"None"
1913-03-31,"RUS","TUR",1913-03-31,"Statlemate","Show of Ships",3,"None"
1914-07-28,"TUR","UKG",1918-10-30,"Ongoing","Begin Interstate War",5,"None"
1914-07-28,"TUR","UKG",1918-10-30,"Ongoing","Begin Interstate War",5,"None"
1914-07-28,"TUR","UKG",1918-10-30,"Ongoing","Begin Interstate War",5,"None"
1914-07-28,"TUR","UKG",1918-10-30,"Ongoing","Begin Interstate War",5,"None"
1914-07-28,"TUR","UKG",1918-10-30,"Win B","Begin Interstate War",5,"1,000+"
1914-08-04,"TUR","FRN",1918-10-30,"Ongoing","Declaration of War",4,"None"
1914-08-04,"TUR","FRN",1918-10-30,"Ongoing","Begin Interstate War",5,"None"
1914-08-04,"TUR","FRN",1918-10-30,"Ongoing","Begin Interstate War",5,"None"
1914-08-04,"TUR","FRN",1918-10-30,"Ongoing","Begin Interstate War",5,"None"
1914-08-04,"TUR","FRN",1918-10-30,"Win B","Begin Interstate War",5,"1,000+"
1914-08-04,"TUR","RUS",1918-09-14,"Ongoing","Begin Interstate War",5,"None"
1914-08-04,"TUR","RUS",1918-09-14,"Ongoing","Begin Interstate War",5,"None"
1914-08-04,"TUR","RUS",1918-09-14,"Ongoing","Begin Interstate War",5,"None"
1914-08-04,"TUR","RUS",1918-09-14,"Ongoing","Begin Interstate War",5,"None"
1914-08-04,"TUR","RUS",1918-09-14,"Win A","Begin Interstate War",5,"1,000+"
1914-11-15,"TUR","IRN",1917-03-20,"Ongoing","Clash",4,"None"
1914-11-15,"TUR","IRN",1917-03-20,"Ongoing","Clash",4,"None"
1914-11-15,"TUR","IRN",1917-03-20,"Ongoing","Clash",4,"None"
1914-11-15,"TUR","IRN",1917-03-20,"Yield B","Clash",4,"None"
1918-01-12,"USA","RUS",1920-04-01,"Ongoing","Clash",4,"None"
1918-01-12,"USA","RUS",1920-04-01,"Ongoing","Clash",4,"None"
1918-01-12,"USA","RUS",1920-04-01,"Win B","Clash",4,"None"
1918-01-12,"UKG","RUS",1920-04-01,"Ongoing","Clash",4,"None"
1918-01-12,"UKG","RUS",1920-04-01,"Ongoing","Clash",4,"None"
1918-01-12,"UKG","RUS",1920-04-01,"Win B","Clash",4,"None"
1918-02-10,"TUR","RUS",1918-02-10,"Statlemate","Raid",4,"None"
1918-06-28,"FRN","RUS",1920-04-01,"Ongoing","Clash",4,"None"
1918-06-28,"FRN","RUS",1920-04-01,"Ongoing","Clash",4,"None"
1918-06-28,"FRN","RUS",1920-04-01,"Win B","Clash",4,"None"
1918-07-01,"UKG","RUS",1920-02-15,"Ongoing","Raid",4,"None"
1918-07-01,"UKG","RUS",1920-02-15,"Ongoing","Raid",4,"None"
1918-07-01,"UKG","RUS",1920-02-15,"Win B","Raid",4,"None"
1918-11-03,"IRN","RUS",1918-11-03,"Statlemate","Raid",4,"None"
1918-12-12,"RUS","UKG",1920-02-01,"Ongoing","Begin Interstate War",5,"None"
1918-12-12,"RUS","UKG",1920-02-01,"Ongoing","Begin Interstate War",5,"None"
1918-12-12,"RUS","UKG",1920-02-01,"Win B","Begin Interstate War",5,"None"
1919-03-27,"RUS","FRN",1920-02-01,"Ongoing","Begin Interstate War",5,"None"
1919-03-27,"RUS","FRN",1920-02-01,"Win B","Begin Interstate War",5,"1,000+"
1919-11-01,"FRN","TUR",1921-10-20,"Ongoing","Begin Interstate War",5,"None"
1919-11-01,"FRN","TUR",1921-10-20,"Ongoing","Begin Interstate War",5,"None"
1919-11-01,"FRN","TUR",1921-10-20,"Yield A","Begin Interstate War",5,"1,000+"
1920-02-01,"UKG","RUS",1920-04-06,"Win B","Raid",4,"None"
1920-03-16,"UKG","TUR",1920-08-23,"Statlemate","Occupation of territory",4,"None"
1920-03-16,"FRN","TUR",1920-08-23,"Statlemate","Occupation of territory",4,"None"
1920-05-08,"RUS","IRN",1921-02-24,"Ongoing","Raid",4,"None"
1920-05-08,"RUS","IRN",1921-02-24,"Statlemate","Raid",4,"None"
1920-05-18,"RUS","UKG",1921-02-24,"Ongoing","Raid",4,"None"
1920-05-18,"RUS","UKG",1921-02-24,"Statlemate","Raid",4,"None"
1920-07-12,"UKG","RUS",1920-08-03,"Statlemate","Threat to use force",2,"None"
1921-02-27,"RUS","TUR",1921-05-31,"Compromise","Show of troops",3,"None"
1922-09-16,"UKG","TUR",1923-07-24,"Ongoing","Occupation of territory",4,"None"
1922-09-16,"UKG","TUR",1923-07-24,"Compromise","Occupation of territory",4,"None"
1922-09-16,"FRN","TUR",1922-10-11,"Compromise","Occupation of territory",4,"None"
1923-05-05,"RUS","UKG",1923-06-11,"Released","Seizure",4,"None"
1925-09-02,"UKG","TUR",1926-03-20,"Ongoing","Show of Ships",3,"None"
1925-09-02,"UKG","TUR",1926-03-20,"Compromise","Show of Ships",3,"None"
1925-12-11,"FRN","TUR",1926-03-20,"Ongoing","Show of troops",3,"None"
